step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,,,,,Origins of the Disability Rights Movement,"Following World War II, returning veterans who were injured in combat would serve as the catalyst for the Disability Rights Movement. This sudden and visible increase of disabled Americans in public life, alongside their status as veterans who had fought for their nation, generated conversations about creating support systems such as specialized healthcare and job assistance for those with disabilities",,,,,,,,
2,,,,,,Broadening the Movement,"Inspired by the Civil Rights Movement, disability activists would adopt legal frameworks and protest tactics developed by civil rights activists to advocate for equal participation in public life. Legal precedents as established by Brown v. Board of Education prevent the segregation of students with disabilities and guaranteed their right to equal, public education, rather than being confined to institutionalized care centers. ",,,,,,,,
3,,,,,,Independent Living Movement,"Grassroots disability activism would become more prominent in the late 1960's and early 1970's, as seen by college students at UC Berkeley who developed the Independent Living Movement. Ed Roberts, alongside other college students who were confined to a local hospital, developed the philosophy surrounding Independent Living. 

Focusing on self-determination and deinstitutionalization, Independent Living meant that disabled individuals are the most knowledgeable as to what their needs are, and should have control over their own lives. This model would be adopted by community activists in the surrounding area to establish the first Center for Independent Living in 1972.",,,,,,,,
4,,,,,,Independent Living in Isla Vista,"Santa Barbara’s own Center for Independent Living opened its doors in 1976. Serving as both a resource hub and a public education outreach program, the local group focused on helping people transition to independent living through counseling services and connecting them with housing accommodations that suit their individual needs. In its first year of operation, the center served more than 170 residents by providing them with transportation, wheelchair repairs, and employment training classes.",,,,,,,,
5,,,,,,Disability Activism on Campus,"Faculty members in particular would be the leading advocates for disability rights on campus. Jeff Bass was one of the first counselors for the school’s Special Services Program (now known as the Disabled Students Program, or DSP), founded in 1978. His primary responsibility as a counselor was connecting students to their necessary accommodations for those with physical, visual, and auditory impairments. As a wheelchair user himself, Bass worked beyond his job responsibilities as an advocate for campus to become more widely accessible. This included making wheelchair repairs possible at the A.S. Bike Shop, along with identifying spots on campus where wheelchair users have a difficult time navigating themselves, such as Campbell Hall. ",,,,,,,,
6,,,,,,Raising Awareness,"Hugh Marsh, a UCSB faculty member of the Engineering Department, was one of the most prominent disability activists in the greater Santa Barbara area. Marsh was a paraplegic and used a wheelchair for the rest of his life after contracting polio at age 14. Outside of his job on campus, he worked as a resource specialist at the Center of Independent Living and brought their public education programs to UCSB. He began spreading awareness to students through a weekly radio show at KCSB in 1980. Marsh focused on the daily aspects of handicapped living that many listeners weren’t previously aware of. His advocacy was not just centered on pushing for structural change to society for disabled people, but also the prejudices and stigmas able-bodied people project onto those with disabilities.",,,,,,,,
7,,,,,,The Americans with Disabilities Act,"On a national level, the Disability Rights Movement was continuing its momentum throughout the 1980s through a large number of Supreme Court rulings that asserted disabled American’s rights to equal protections and anti-discrimination. In 1988, the first version of the Americans with Disabilities Act was formally introduced to Congress, before being passed and signed into law by President George H.W. Bush in 1990. This comprehensive piece of civil rights legislation prohibits discrimination in employment, transportation, public accommodations, communications, and access to state and local government’ programs and services.",,,,,,,,
8,,,,,,Making Campus ADA Compliant,"As a public university, UCSB would work throughout the 1990s to make its campus fully accessible. Overseen by Vice Chancellor for Administrative Services David Sheldon, the UCSB ADA Advisory Group was established to analyze the entirety of campus and its programming to see where changes needed to be made. Each department on campus had a representative responsible for inspecting their respective buildings, totalling in over 200 UCSB affiliates working towards an accessible campus.",,,,,,,,
