object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
id_objeto,titulo,texto_alt,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,dimensiones
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
adasigning,Pres. George H.W. Bush signing the Americans with Disabilities Act,Pres. George H.W. Bush signing the Americans with Disabilities Act,,Chief Official White House Photographer David Valdez,Pres. George H.W. Bush signing the Americans with Disabilities Act on the South Lawn of the White House,,20th century.,1990,,,Encylopedia Britannica,"The National Archives and Records Administration, George H.W. Bush Presidential Library",,
adminservicesadahandbookforucsb,Admin Services ADA Handbook for UCSB,Admin Services ADA Handbook for UCSB,,UCSB ADA Advisory Committee,Front cover of the Admin Services ADA Handbook for UCSB.,,20th century.,1993,,,"UC Santa Barbara. “Admin Services ADA Handbook for UCSB.” October 1993. University of California, Santa Barbara, Vice Chancellors collection. UArch 67, Box 4, Folder 1.",Courtesy of UCSB Library Special Research Collection,,
dailynexusadanewsarticle,"Daily Nexus Article: ""Act Addresses Accessibility Issues Concerning Mobility for Disabled""","Daily Nexus Article: ""Act Addresses Accessibility Issues Concerning Mobility for Disabled""",,Rebecca Eggeman,News article from the Daily Nexus covering the change in campus environment as a result of the Americans with Disabilities Act.,,20th century.,1993,,,"Eggeman, Rebecca. “Act Addresses Accessibility Issues Concerning Mobility for Disabled.” The Daily Nexus (Isla Vista, CA). November 23, 1993. University of California, Santa Barbara Daily Nexus and antecedent newspapers. alexandria.ucsb.edu.",Courtesy of UCSB Library,,
dailynexusmtparticle,"Daily Nexus Article: ""Mobility Transport Program seeks permanent student fee""","Daily Nexus Article: ""Mobility Transport Program seeks permanent student fee""",,Michelle Cisneros and Wynne Bendell,Screenshot of the Feb. 19th Daily Nexus Article about the Mobility Transport Program.,,21st century.,2026,,,"Bendell, Wynne & Cisneros, Michelle. “Mobility Transport Program seeks permanent student fee.” The Daily Nexus (Isla Vista, CA). February 19, 2026. University of California, Santa Barbara Daily Nexus and antecedent newspapers. alexandria.ucsb.edu.",Courtesy of UCSB Daily Nexus Print Archive,,
hughmarshkcsbradiosegment,Advertisement for Hugh Marsh's KCSB Radio Segment,Advertisement for Hugh Marsh's KCSB Radio Segment,,Unknown author,Advertisement in Santa Barbara News-Press highlighting Hugh Marsh's new radio segment on KCSB focused on daily handicapped life.,,20th century.,1980,,,"Unknown author. “Radio show deals with handicapped,” Santa Barbara News-Press (Santa Barbara, CA). May 4, 1980. Newspapers.com",Newspapers.com,,
img3136,UCSB ADA Self-Evalution,,,The Office of Vice Chancellor of Administrative Affairs at UC Santa Barbara,"An introductory page to the UCSB ADA Self-Evaluation document. This summary introduces the reader of the document as to what the ADA is, how it impacts campus, and an outline of how the school plan on implementing necessary changes.",,20th century,1993,,,wip,wip,,
independentlivingresourcecenter,"Independent Living Resource Center ""Facts & Flashes"" Flyer",Independent Living Resource Center News Flyer,,Independent Living Resource Center,"A page from the Independent Living Resource Center's information flyers. This page details to readers about services, activities, and community news that deaf residents should be informed on.",,20th century.,1976,News Flyer,"ILRC, Disability activism","UCSB Library Spotlight, ""Disability Culture in the UCSB Archives - Independent Living Resource Center Activities & Services,"" Michelle Chen.",Courtesy of UCSB Library Special Research Collections,,
